center 1,center 2
0.079828195,0.13869041
0.06543611,0.14635502
-0.030275496,-0.029656796
-0.083466984,-0.07282173
0.02355781,-0.036928847
-0.10893463,-0.16162917
0.027690083,-0.03668713
0.018731304,-0.015348124
0.22367793,0.24329285
-0.026868463,0.049478155
0.16484219,0.16346344
0.044120252,-0.019234749
-0.0709115,-0.047037933
-0.11814233,-0.032536443
0.12871052,0.15752238
-0.048778743,-0.15043628
0.17188236,0.22315139
-0.13827644,-0.2062932
0.08690724,-0.060570497
-0.11447303,-0.055874504
0.21103369,0.22416025
-0.41373897,-0.3303889
-0.27887383,-0.23005787
-0.0043753353,0.031710368
-0.3927631,-0.41249624
-0.0033678354,-0.014514858
0.048626773,-0.023841724
-0.04262171,0.038794663
0.3418659,0.3819545
-0.15929495,-0.26304334
0.16456299,0.18640277
-0.192002,-0.16796128
-0.108841434,0.020850271
-0.044024296,-0.050052594
0.028604208,-0.037347093
0.3441561,0.33963087
0.13881834,0.035704255
-0.13831764,-0.038114525
-0.2568732,-0.014025554
0.5206265,0.4302619
-0.24690145,-0.12118652
-0.28322014,-0.33224875
-0.37865382,-0.2280434
0.19677234,0.16187908
-0.046507783,-0.08895727
0.022174075,-0.068090595
-0.22119671,-0.19125833
-0.21473998,-0.16348359
-0.09943338,-0.03408854
-0.21092333,-0.11659553
-0.0062871277,0.033080526
0.026176676,-0.120583594
0.18330204,0.029758058
0.11356288,0.01919128
-0.1374789,-0.16834709
-0.11104788,-0.0066222325
-0.089018494,-0.070521854
-0.0032435898,0.09665522
0.18896328,0.1840946
0.111261666,0.17982213
0.08519937,-0.07911013
-0.023163179,-0.07702802
0.32367945,0.23341072
0.13393226,0.2574765
0.2872895,0.12431548
-0.0048493645,0.014598748
0.044867262,0.09569428
0.04381301,0.09778318
0.17324767,0.087339446
-0.3211441,-0.33378816
0.032462705,0.01297738
-0.11023735,-0.26370776
0.04402769,-0.016306147
0.07813872,-0.05524218
0.32561558,0.32019255
-0.08689513,-0.04747358
-0.1672235,-0.1552577
-0.46505606,-0.37457561
0.2699295,0.107899606
0.17498273,0.14006042
0.067516714,0.049349092
0.006016625,0.06256414
-0.017370354,-0.113230035
0.20803355,0.24946983
0.26879513,0.21940154
-0.033054948,-0.1771901
0.020707756,-0.055265896
0.025092544,0.11193316
-0.13099295,-0.01739455
-0.15846041,-0.1951938
-0.034489777,0.008031001
-0.1888017,-0.1855955
-0.0111753605,0.009176587
0.38925022,0.30745262
0.19262247,0.12603222
-0.3594401,-0.344973
-0.023986159,-0.018045574
0.33265352,0.26375154
0.09825475,0.03549679
0.002119522,-0.031734657
-0.13067651,-0.2123567
0.048090614,0.09716709
0.14898834,0.19178191
-0.116060406,-0.11513749
-0.09197227,-0.23468427
-0.037379444,-0.10147573
0.13814975,0.17108771
0.00530517,0.054928884
-0.070791736,0.033644278
0.17265366,0.054475933
-0.10489789,-0.13084863
-0.119239606,-0.111104995
-0.23620051,-0.32943225
-0.13171248,-0.1316628
0.14451896,0.16068085
0.14755267,0.14762302
0.07021402,0.07431189
0.06535334,0.10786992
0.017585952,0.0939495
0.2618748,0.14847592
-0.20141263,-0.2431542
-0.03665979,0.0051544756
0.16659628,0.08807655
-0.023985727,0.010872228
0.08072828,0.21998647
0.137355,0.14308107
-0.024204291,-0.10867
-0.05360727,0.019491948
0.10892427,0.094507314
-0.4050153,-0.367992
-0.27401897,-0.26559848
0.08182668,0.035554815
0.033940844,0.0004672911
0.1616375,0.11103683
-0.18200494,-0.06070528
0.09305361,0.017015249
-0.08232194,0.0033046529
-0.049755424,-0.12792182
-0.09039452,-0.16873921
-0.03909512,-0.10630852
0.18556063,0.11127667
-0.052015953,0.03858891
-0.33283785,-0.16995917
0.10430777,0.010417104
-0.08136426,-0.006109342
-0.15980439,-0.14902145
-0.18855491,-0.35911715
0.09807614,0.11231691
0.05228456,0.033295188
-0.68191254,-0.34119937
