cluster1,cluster2
0.09178344,0.04563205
0.08848193,0.044599604
0.08123961,0.17318264
-0.3186931,-0.32292572
0.006985534,0.031114785
-0.24778455,-0.11278042
-0.008347746,0.042132102
-0.08337218,0.078177996
0.2924902,0.32631564
-0.0725656,-0.08504255
-0.17077631,-0.1668773
-0.36386853,-0.46537042
0.11194677,0.26932654
0.1348137,0.1760777
0.027134567,0.06862361
0.05010231,0.006711522
-0.120529555,-0.018120173
0.21194132,0.20910166
0.19563691,0.26889363
-0.16047412,-0.035627548
-0.069163986,0.02087646
0.103615314,0.026481511
-0.025061518,-0.12993789
-0.16078332,-0.16022637
0.029438194,-0.035293303
-0.17031321,-0.1900742
0.0012483415,-0.00983825
0.28409758,0.3893881
0.12498998,0.1924448
-0.35527137,-0.3595256
-0.029499037,-0.025179327
0.32690892,0.3306837
0.05339244,0.0964245
-0.024731144,0.0016139247
-0.21285477,-0.13303009
0.088321105,0.048656072
0.1852123,0.1494227
-0.10506292,-0.11681394
-0.20411798,-0.09410812
-0.11342056,-0.03791099
0.17026755,0.13900606
0.0948087,0.0041823834
-0.009290438,-0.068420365
0.08432231,0.17194447
-0.1535525,-0.1046267
-0.14089856,-0.11866499
-0.32746306,-0.23898162
-0.11989093,-0.13265447
0.18574958,0.1436691
0.13765375,0.14643382
0.08244369,0.07002761
0.07199521,0.065767944
0.12749699,0.017502092
0.16847792,0.26155442
-0.23622052,-0.20230055
0.008382261,-0.037804347
0.05164136,0.16592713
-0.0014096769,-0.023117315
0.20322342,0.080976665
0.14011656,0.13694131
-0.09122658,-0.024680348
-0.011464691,-0.050908986
0.078749694,0.1105508
-0.36036736,-0.4062846
-0.28679854,-0.27425352
-0.0074849576,0.083274275
-0.029378861,0.033348873
0.14445022,0.16106838
-0.050596632,-0.18171489
0.047624547,0.09202635
0.019747946,-0.08190341
-0.12397956,-0.05018601
-0.20628805,-0.091366746
-0.094785176,-0.040805586
0.1261566,0.18596637
0.05575501,-0.05134064
-0.16866058,-0.33225262
0.016632885,0.102981575
-0.027909279,-0.080853574
-0.14421648,-0.15987128
-0.3373105,-0.19167231
0.10936792,0.09844014
0.061343692,0.051303916
-0.3485519,-0.67683357
0.015481478,0.030580452
0.053604834,0.1546583
0.31081495,0.20200352
0.09012124,-0.10336657
-0.49405038,-0.6119847
-0.020971755,-0.0009081089
0.0374974,0.124000154
0.027580597,0.15004954
-0.156075,-0.15561526
-0.096455894,-0.052363887
-0.15378432,-0.13919693
-0.18696749,-0.28668377
-0.029512886,-0.07057804
-0.024277236,-0.012899406
0.16359146,0.18194915
0.28929576,0.1290851
-0.13310401,-0.117264286
0.10705664,0.1068565
0.08446242,0.056781024
-0.11092218,-0.07052843
-0.16122195,-0.109898865
-0.34745723,-0.3071776
0.24201329,0.31437483
-0.35062608,-0.33407298
