cluster1,cluster2
-0.029361654,-0.071050614
0.018248238,-0.11818303
0.17091763,0.12759385
-0.16206941,-0.054880172
0.26026943,0.17142126
-0.11659862,-0.15471874
-0.050026845,0.07189088
-0.111859605,-0.10666102
0.21221851,0.21217756
-0.3014366,-0.41047502
-0.22858225,-0.27631706
0.057298824,-0.002292689
-0.4481913,-0.39684668
-0.003783743,-0.009797752
0.018240595,0.04118598
0.0315533,-0.030176647
0.31401393,0.3510333
-0.21471138,-0.17150132
0.18466532,0.17043492
-0.14730561,-0.19335112
-0.016016778,-0.09694554
-0.028750058,-0.04290846
-0.043578047,0.022623627
0.2801481,0.3469246
0.067603685,0.13087037
-0.007207036,-0.13435587
-0.03235677,-0.23410292
0.43058264,0.51848435
-0.07407597,-0.2415597
-0.26849353,-0.3016503
-0.16863419,-0.36887038
0.102317266,0.2008709
-0.08602707,-0.052792568
-0.11676987,0.02136242
-0.16968966,-0.21876056
-0.120159544,-0.21990699
0.016800627,-0.09808294
-0.12328112,-0.20484483
0.07876314,-0.00643655
-0.16820301,0.02717874
0.06331901,0.16874437
0.011340931,0.1042639
-0.15375717,-0.14876197
0.097386666,-0.10915661
0.048640735,-0.09864735
0.10377167,0.004086947
0.17537086,0.19026186
0.18872452,0.11903648
-0.07711621,0.072867446
0.014328742,-0.041801065
0.14058782,0.32540685
0.24154198,0.14784914
0.10156241,0.2806973
0.0055480953,-0.0010132028
0.096838295,0.04808212
0.09490989,0.046416514
0.06486203,0.1702957
-0.30529875,-0.32678917
0.0174625,0.025685905
-0.24679449,-0.12493546
0.007375626,0.032733183
-0.116573565,0.07450441
0.27742064,0.32811296
-0.0925243,-0.077638045
-0.189689,-0.16123992
-0.3379501,-0.4646614
0.076213315,0.2668191
0.12046998,0.17699303
0.0085898265,0.07084742
0.047402546,0.0113711385
-0.1314082,-0.023663677
0.18296301,0.21851245
0.18306006,0.26644415
-0.15192094,-0.04928263
-0.095131464,0.021188319
0.10445687,0.032981277
-0.007262893,-0.1263657
-0.11996725,-0.17317949
0.046169654,-0.03490512
-0.1509499,-0.19446269
-0.022312954,-0.0014167107
0.27092934,0.3843157
0.10733377,0.1921101
-0.3545479,-0.35938117
-0.012447748,-0.030949127
0.3487426,0.32344973
0.060318246,0.090460286
-0.029797236,0.00090473704
-0.18115892,-0.1500528
0.08493881,0.05320466
0.17634238,0.15536627
-0.075185694,-0.1252291
-0.18949106,-0.108382076
-0.12839839,-0.039799005
0.1657567,0.1431743
0.13381256,-0.00019960478
-0.024357483,-0.058470186
0.06413997,0.17063943
-0.1671677,-0.104613714
-0.15268461,-0.11688898
-0.3224851,-0.24831662
-0.1000221,-0.13781656
0.20103398,0.14252791
0.12386836,0.15002201
0.09895599,0.06589623
0.07896675,0.06411007
0.16296749,0.015936121
0.17698249,0.25070134
-0.22820382,-0.20781042
0.013826648,-0.035474345
0.034930706,0.16118571
-0.0145490635,-0.017059108
0.21532366,0.08787398
0.13563907,0.13863543
-0.10908131,-0.024872584
-0.037051443,-0.039359685
0.06298916,0.112744145
-0.33845735,-0.40918398
-0.2910715,-0.27400297
-0.040874824,0.085869685
-0.043728665,0.03238347
0.14380306,0.1598153
-0.038594067,-0.17400849
0.048309445,0.08791508
0.030426234,-0.076363
-0.124072656,-0.056629412
-0.21604538,-0.09836224
-0.09605147,-0.045140088
0.10890956,0.18617287
0.05703804,-0.04235229
-0.15524337,-0.32214504
0.017766777,0.095048934
-0.041476868,-0.07192005
-0.15766974,-0.15424477
-0.31907734,-0.21021155
0.111120276,0.098844655
0.07696122,0.047246955
-0.32525393,-0.6554039
0.010081556,0.030963266
0.06227437,0.14305341
0.3230146,0.20769106
0.09146638,-0.086819954
-0.4766485,-0.6071418
0.003649815,-0.010452282
0.032276377,0.118063174
0.0058415905,0.14618002
-0.15426363,-0.15622826
-0.12024686,-0.048709787
-0.1390849,-0.1451238
-0.17784289,-0.28082192
-0.009810306,-0.07320508
-0.0064109666,-0.019545972
0.15364443,0.1834837
0.29339665,0.14184162
-0.13134271,-0.119210534
0.12219514,0.10208791
0.100157574,0.05424698
-0.117366984,-0.07203404
-0.15499,-0.11637098
-0.33222428,-0.31552675
0.20580852,0.31947404
-0.32426706,-0.3438585
-0.025314504,-0.05314924
-0.09140864,-0.1336868
-0.10804344,-0.17900842
0.08004063,-0.07156382
-0.14492965,-0.20351468
0.09061784,0.1257528
-0.032925084,-0.13853297
0.08416291,0.02703917
0.044285305,-0.07559188
0.19965725,0.24083208
0.05327778,0.0012445124
-0.10290796,-0.054225095
0.020742793,0.048700348
-0.055337295,-0.22400287
0.015161572,0.002677155
0.10185867,0.093266726
0.09143206,0.08780957
0.088548765,0.11789499
-0.14652963,0.053930122
-0.02514217,-0.038011543
-0.012756839,-0.16316465
-0.28080675,-0.28780326
-0.007519707,0.12334603
-0.15534812,-0.21125063
0.199372,0.033450402
0.28488553,0.18462121
0.09827793,0.14004287
0.019423889,-0.0074141985
0.1132531,0.028533451
-0.093018234,-0.09438692
-0.12323781,-0.071099356
-0.007353477,-0.15979424
-0.14172018,-0.09340893
0.044396844,0.035196617
0.40367487,0.45628634
0.063742995,-0.0022699973
-0.24375051,-0.2980016
-0.008401655,-0.020373315
-0.18645391,-0.25098836
0.15304385,0.10513248
0.070787296,0.22748151
0.12787265,0.19141583
-0.178394,-0.045685243
0.1854941,0.23282287
-0.08372309,0.0457549
0.31569758,0.34337792
0.16223887,0.11017514
0.16156198,0.087155655
-0.04740472,-0.087169364
0.059438698,-0.082144886
0.04567167,-0.0013703499
-0.24692582,-0.28444645
-0.11940428,-0.20982231
0.05415436,-0.04492378
-0.21371831,-0.28953063
-0.16064243,-0.34193674
0.20479621,0.21325755
0.38345945,0.24425574
-0.38957945,-0.27596664
-0.028982751,-0.09444816
0.12592892,0.07456233
-0.1907731,-0.12310687
-0.08198873,-0.19116394
0.07147238,-0.03915025
0.077845044,0.1997978
0.030449204,0.120089844
0.30299547,0.32256716
-0.020622402,0.03185399
0.11094898,0.1751317
0.25747114,0.22001699
-0.35953966,-0.3425831
-0.2168935,-0.23727705
-0.0045946175,-0.0087224385
0.14038038,0.22350019
0.17892966,0.18635976
0.26888004,0.15886112
0.05247273,0.04962234
0.31932735,0.4492369
0.024971522,-0.091091014
-0.093543395,-0.01038672
0.09430302,0.05803346
0.10030505,0.09844225
-0.017838616,-0.0889839
0.043339707,0.025844974
-0.030477058,-0.09391194
0.12785353,0.13654116
0.118210904,0.12099403
0.14624053,0.0521429
0.2317437,0.25713778
0.11928523,0.1403864
0.04124136,0.08658404
0.010881994,-0.049739026
0.2557779,0.27629265
0.19506283,0.1436279
0.080281794,0.08481862
-0.032236334,0.020679958
0.005187109,0.19242182
-0.0069588255,-0.001217111
-0.13794282,-0.1215206
0.0067469887,0.048072167
0.20933336,0.08608736
0.12132439,0.07147596
0.10790931,0.09513741
-0.15860811,0.15481974
0.087906994,0.046083756
-0.054189768,0.012867834
0.095976226,0.2453874
-0.40039495,-0.40501046
-0.13747284,-0.22460912
0.12971911,0.075419605
0.094374895,0.08010674
-0.16406839,-0.19233266
-0.15775175,-0.020368531
0.070122674,0.021055233
0.026950518,-0.014377002
0.17267287,0.2088156
0.0533512,0.10834176
0.20778145,0.21034688
0.04806322,0.020244826
0.10418096,0.15205945
0.049506478,0.088726565
0.07969384,-0.13126244
-0.13233471,-0.14272188
0.0341878,0.120462626
-0.014444374,-0.090461195
-0.086981505,-0.116735764
-0.23725857,-0.20369074
-0.36255836,-0.4714269
-0.10238971,-0.17455134
-0.26205295,-0.39234972
-0.17717892,-0.10873768
0.045203306,0.084612906
